#
# Run File created 12/08/2015 5:03:01 PM
#

#
# 
#

# Ch1_Incident WP                     Moving          14.671(x - zero)
# Ch2_Phase WP                        Moving          17.273(x - zero)
# Ch3_OWC WP                          Moving          22.575(x - zero)
# Ch4_OWC Pressure                    Moving          41.623(x - zero)

TITLE="Calibration"
VARIABLES="Time" "Ch1_Incident WP" "Ch2_Phase WP" "Ch3_OWC WP" "Ch4_OWC Pressure" 
ZONE T="Calibration" F=POINT 
0.000000 -0.201395 -0.185819 -0.129875 -0.086480 
1.000000 14.670759 17.272866 22.574672 41.623146 

TITLE="Data"
VARIABLES="Time" "Ch1_Incident WP" "Ch2_Phase WP" "Ch3_OWC WP" "Ch4_OWC Pressure" 
ZONE T="Data" F=POINT 
1.370000 -0.184537 -0.188082 -0.123946 -0.087204 
1.375000 -0.187116 -0.191305 -0.129102 -0.091716 
1.380000 -0.189372 -0.189049 -0.128780 -0.079791 
1.385000 -0.191305 -0.190338 -0.128135 -0.089782 
1.390000 -0.186471 -0.185504 -0.127169 -0.084948 
1.395000 -0.190338 -0.189049 -0.130392 -0.093972 
1.400000 -0.189372 -0.189694 -0.127813 -0.097840 
1.405000 -0.190983 -0.190661 -0.129102 -0.076568 
1.410000 -0.185504 -0.185826 -0.125557 -0.084626 
1.415000 -0.191950 -0.187760 -0.128458 -0.083659 
1.420000 -0.189372 -0.189694 -0.127491 -0.085270 
1.425000 -0.191950 -0.189694 -0.127813 -0.089138 
1.430000 -0.186471 -0.185826 -0.124913 -0.087849 
1.435000 -0.189049 -0.188727 -0.126524 -0.092038 
1.440000 -0.191305 -0.189372 -0.129425 -0.089460 
1.445000 -0.188405 -0.188727 -0.129425 -0.076891 
1.450000 -0.188082 -0.186471 -0.125557 -0.083336 
1.455000 -0.192272 -0.185504 -0.129102 -0.093005 
1.460000 -0.190338 -0.189694 -0.130069 -0.091716 
1.465000 -0.189049 -0.190016 -0.128780 -0.105253 
1.470000 -0.189049 -0.186471 -0.127169 -0.102996 
1.475000 -0.189694 -0.187760 -0.128780 -0.077857 
1.480000 -0.192595 -0.191628 -0.131358 -0.090427 
1.485000 -0.192917 -0.189372 -0.128458 -0.098807 
1.490000 -0.189049 -0.186149 -0.126846 -0.107831 
1.495000 -0.192917 -0.187760 -0.130714 -0.086559 
1.500000 -0.192272 -0.190983 -0.131036 -0.077535 
1.505000 -0.194206 -0.189049 -0.129425 -0.079147 
1.510000 -0.192595 -0.183570 -0.127491 -0.067866 
1.515000 -0.191628 -0.187116 -0.129425 -0.091072 
1.520000 -0.192272 -0.188727 -0.130392 -0.090105 
1.525000 -0.191950 -0.188405 -0.127813 -0.079147 
1.530000 -0.191305 -0.185826 -0.125235 -0.086237 
1.535000 -0.194528 -0.187438 -0.129425 -0.086882 
1.540000 -0.190661 -0.187760 -0.127813 -0.093328 
1.545000 -0.192272 -0.188727 -0.129102 -0.085270 
1.550000 -0.189049 -0.183893 -0.127813 -0.085915 
1.555000 -0.191628 -0.186471 -0.132003 -0.086882 
1.560000 -0.192272 -0.189049 -0.129425 -0.092683 
1.565000 -0.190983 -0.187760 -0.129747 -0.077535 
1.570000 -0.186471 -0.183570 -0.128458 -0.093972 
1.575000 -0.193561 -0.186471 -0.131681 -0.076891 
1.580000 -0.192595 -0.188727 -0.131036 -0.091716 
1.585000 -0.191305 -0.187438 -0.130714 -0.080758 
1.590000 -0.189049 -0.184859 -0.127491 -0.091072 
1.595000 -0.194206 -0.188727 -0.129102 -0.090105 
1.600000 -0.193561 -0.187116 -0.130392 -0.093328 
1.605000 -0.193561 -0.186793 -0.132003 -0.088171 
1.610000 -0.190338 -0.185182 -0.127491 -0.079791 
1.615000 -0.191950 -0.186793 -0.129102 -0.090749 
1.620000 -0.192272 -0.186793 -0.130392 -0.089782 
1.625000 -0.190016 -0.184215 -0.131036 -0.102996 
1.630000 -0.188727 -0.182603 -0.127491 -0.086559 
1.635000 -0.191628 -0.184859 -0.128780 -0.087849 
1.640000 -0.192272 -0.185504 -0.129747 -0.087849 
1.645000 -0.189694 -0.185826 -0.129425 -0.085915 
